id,line,log_line
65188,100,4.605170186
65189,80,4.382026635
65190,1,0
65196,1,0
65197,6,1.791759469
65198,73,4.290459441
65209,5,1.609437912
65211,7,1.945910149
65212,18,2.890371758
65214,19,2.944438979
65220,15,2.708050201
65221,19,2.944438979
65222,18,2.890371758
65223,1,0
65224,16,2.772588722
65226,44,3.784189634
65229,8,2.079441542
65230,12,2.48490665
65235,7,1.945910149
65241,254,5.537334267
65245,63,4.143134726
65247,5,1.609437912
65250,190,5.247024072
65264,24,3.17805383
65267,127,4.844187086
65272,2,0.693147181
65276,3,1.098612289
65306,26,3.258096538
65309,3,1.098612289
65329,127,4.844187086
65331,50,3.912023005
65347,298,5.697093487
65349,28,3.33220451
65351,48,3.871201011
65354,169,5.129898715
65360,29,3.36729583
65364,34,3.526360525
65374,35,3.555348061
65393,148,4.997212274
65396,24,3.17805383
65397,7,1.945910149
65398,23,3.135494216
65399,36,3.583518938
65404,68,4.219507705
65413,141,4.94875989
65416,30,3.401197382
65419,2,0.693147181
65427,3,1.098612289
65436,146,4.983606622
65440,6,1.791759469
65441,40,3.688879454
65442,4,1.386294361
65450,17,2.833213344
65452,84,4.430816799
65456,2,0.693147181
65458,1,0
65459,3,1.098612289
65461,24,3.17805383
65463,20,2.995732274
65465,41,3.713572067
65472,1,0
65474,67,4.204692619
65486,230,5.438079309
65493,408,6.011267174
65495,64,4.158883083
65496,103,4.634728988
65499,72,4.276666119
65508,3,1.098612289
65513,25,3.218875825
65517,85,4.442651256
65529,60,4.094344562
65530,4,1.386294361
65531,41,3.713572067
65532,78,4.356708827
65540,8,2.079441542
65543,26,3.258096538
65544,29,3.36729583
65545,14,2.63905733
65554,4,1.386294361
65566,2,0.693147181
65579,2,0.693147181
65588,18,2.890371758
65590,115,4.744932128
65596,185,5.220355825
65604,159,5.068904202
65605,1,0
65609,181,5.198497031
65611,11,2.397895273
65615,13,2.564949357
65617,34,3.526360525
65623,75,4.317488114
65624,140,4.941642423
65627,41,3.713572067
65631,384,5.950642553
65633,15,2.708050201
65635,493,6.200509174
65637,21,3.044522438
65640,66,4.189654742
65641,7,1.945910149
65643,362,5.891644212
65647,255,5.541263545
65660,246,5.505331536
65662,2,0.693147181
65663,38,3.63758616
65691,72,4.276666119
65692,35,3.555348061
65696,21,3.044522438
65712,56,4.025351691
65715,36,3.583518938
65726,1,0
65752,5,1.609437912
65762,38,3.63758616
65763,35,3.555348061
65769,11,2.397895273
65772,13,2.564949357
65774,22,3.091042453
65784,38,3.63758616
65792,55,4.007333185
65799,59,4.077537444
65808,699,6.549650742
65809,158,5.062595033
65810,688,6.533788838
65811,34,3.526360525
65812,49,3.891820298
65814,45,3.80666249
65824,81,4.394449155
65825,18,2.890371758
65826,126,4.836281907
65837,34,3.526360525
65838,147,4.990432587
65846,7,1.945910149
65855,2,0.693147181
65856,4,1.386294361
65861,14,2.63905733
65862,53,3.970291914
65879,8,2.079441542
65882,10,2.302585093
65883,7,1.945910149
65890,17,2.833213344
65893,100,4.605170186
65894,59,4.077537444
65896,94,4.543294782
65900,11,2.397895273
65902,246,5.505331536
65904,76,4.33073334
65906,35,3.555348061
65907,32,3.465735903
65912,242,5.488937726
65917,20,2.995732274
65936,8,2.079441542
65938,7,1.945910149
65940,2,0.693147181
65944,6,1.791759469
65951,11,2.397895273
65967,6,1.791759469
65968,57,4.043051268
65973,11,2.397895273
65975,6,1.791759469
65989,47,3.850147602
66009,4,1.386294361
66013,85,4.442651256
66032,22,3.091042453
66039,1,0
66047,2,0.693147181
66059,14,2.63905733
66064,82,4.406719247
66066,12,2.48490665
66070,1,0
66081,5,1.609437912
66082,41,3.713572067
66091,2,0.693147181
66101,78,4.356708827
66105,723,6.583409222
66108,344,5.840641657
66109,455,6.120297419
66179,52,3.951243719
66186,36,3.583518938
66187,90,4.49980967
66188,41,3.713572067
66191,9,2.197224577
66192,1,0
66193,3,1.098612289
66194,9,2.197224577
66196,0,0
66197,19,2.944438979
66232,5,1.609437912
66240,158,5.062595033
66242,156,5.049856007
66246,163,5.093750201
66255,21,3.044522438
66264,5575,8.626047596
66267,1,0
66285,21,3.044522438
66291,359,5.883322388
66294,3,1.098612289
66298,3,1.098612289
66310,8,2.079441542
66313,8,2.079441542
66329,6,1.791759469
66332,12,2.48490665
66339,16,2.772588722
66346,6,1.791759469
66347,614,6.419994928
66365,6,1.791759469
66371,80,4.382026635
66372,6,1.791759469
66373,23,3.135494216
66374,68,4.219507705
66378,289,5.666426688
66386,146,4.983606622
66388,2,0.693147181
66393,90,4.49980967
66403,23,3.135494216
66407,121,4.795790546
66416,100,4.605170186
66426,17,2.833213344
66441,386,5.955837369
66451,8,2.079441542
66453,1935,7.567862605
66457,166,5.111987788
66462,76,4.33073334
66469,497,6.208590026
66472,2,0.693147181
66473,5,1.609437912
66476,204,5.318119994
66489,2,0.693147181
66490,15,2.708050201
66493,344,5.840641657
66498,16,2.772588722
66501,71649,11.17953448
66502,126,4.836281907
66504,342,5.834810737
66505,63,4.143134726
66508,102,4.624972813
66509,77,4.343805422
66512,6,1.791759469
66520,8,2.079441542
66523,306,5.723585102
66527,19,2.944438979
66532,9,2.197224577
66536,248,5.513428746
66537,127,4.844187086
66545,202,5.308267697
66547,10,2.302585093
66567,5,1.609437912
66577,26,3.258096538
66578,35,3.555348061
66579,53,3.970291914
66586,5,1.609437912
66597,38,3.63758616
66598,2,0.693147181
66609,42,3.737669618
66611,993,6.900730664
66615,34,3.526360525
66619,121,4.795790546
66626,4,1.386294361
66627,55,4.007333185
66633,43,3.761200116
66634,25,3.218875825
66650,226,5.420534999
66652,73,4.290459441
66666,300,5.703782475
66667,2,0.693147181
66669,159,5.068904202
66670,21,3.044522438
66672,6,1.791759469
66678,121,4.795790546
66683,44,3.784189634
66685,21,3.044522438
66686,5,1.609437912
66693,13,2.564949357
66725,143,4.96284463
66736,123,4.812184355
66737,157,5.056245805
66740,6,1.791759469
66750,1,0
66755,12,2.48490665
66766,55,4.007333185
66772,1742,7.462789157
66775,309,5.733341277
66782,156,5.049856007
66783,198,5.288267031
66792,2,0.693147181
66799,78,4.356708827
66808,56,4.025351691
66819,88,4.477336814
66828,23,3.135494216
66832,3,1.098612289
66836,20,2.995732274
66841,1709,7.443663683
66866,308,5.730099783
66872,22,3.091042453
66876,58,4.060443011
66877,23,3.135494216
66883,31,3.433987204
66885,2,0.693147181
66886,136,4.912654886
66890,292,5.676753802
66898,26,3.258096538
66899,412,6.021023349
66903,158,5.062595033
66905,101,4.615120517
66906,165,5.105945474
66909,12,2.48490665
66916,2,0.693147181
66917,8,2.079441542
66928,49,3.891820298
66935,76,4.33073334
66941,455,6.120297419
66950,12,2.48490665
66951,9,2.197224577
66952,189,5.241747015
66956,4,1.386294361
66959,66,4.189654742
66964,33,3.496507561
66965,33,3.496507561
66969,7,1.945910149
66971,275,5.616771098
66972,350,5.857933154
66976,430,6.063785209
66977,2,0.693147181
66980,2,0.693147181
66986,584,6.369900983
66987,11,2.397895273
66989,43,3.761200116
66992,56,4.025351691
66994,158,5.062595033
67000,1,0
67003,11,2.397895273
67011,116,4.753590191
67012,828,6.719013154
67018,26,3.258096538
67019,445,6.098074282
67025,5,1.609437912
67026,136,4.912654886
67028,123,4.812184355
67031,380,5.940171253
67032,42,3.737669618
67033,4,1.386294361
67037,2,0.693147181
67058,9997,9.210040327
67067,112,4.718498871
67077,6,1.791759469
67079,106,4.663439094
67084,50,3.912023005
67085,7,1.945910149
67089,2,0.693147181
67092,3,1.098612289
67097,291,5.673323267
67115,1317,7.183111702
67116,9,2.197224577
67119,103,4.634728988
67122,252,5.529429088
67133,6,1.791759469
67137,192,5.257495372
67145,5,1.609437912
67147,122,4.804021045
67148,3,1.098612289
67151,2,0.693147181
67181,18,2.890371758
67184,3,1.098612289
67185,10,2.302585093
67186,23,3.135494216
67187,7,1.945910149
67189,192,5.257495372
67203,5,1.609437912
67205,6,1.791759469
67206,56,4.025351691
67207,32,3.465735903
67208,7,1.945910149
67209,236,5.463831805
67214,36,3.583518938
67220,10,2.302585093
67225,707,6.561030666
67227,3,1.098612289
67229,89,4.48863637
67232,39,3.663561646
67235,157,5.056245805
67253,58,4.060443011
67263,54,3.988984047
67264,209,5.342334252
67266,22,3.091042453
67269,17,2.833213344
67270,3,1.098612289
67271,38,3.63758616
67280,7,1.945910149
67281,233,5.451038454
67282,116,4.753590191
67288,3559,8.177234886
67291,47,3.850147602
67295,2,0.693147181
67296,61,4.110873864
67297,13,2.564949357
67304,431,6.06610809
67305,336,5.81711116
67306,129,4.859812404
67307,1198,7.088408779
67310,54,3.988984047
67313,70,4.248495242
67332,9,2.197224577
67333,7,1.945910149
67338,53,3.970291914
67349,3,1.098612289
67351,6,1.791759469
67355,12,2.48490665
67361,12,2.48490665
67364,15,2.708050201
67367,2,0.693147181
67370,11,2.397895273
67373,104,4.644390899
67375,9,2.197224577
67379,20,2.995732274
